country,1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025
Afghanistan,0.00,0.01,0.01,0.03,0.03,0.03,0.76,0.96,1.16,1.39,0.89,1.32,2.19,2.27,3.55,4.81
Africa,0.21,0.34,0.52,0.72,1.06,1.43,1.91,2.39,2.81,3.24,3.95,5.27,7.05,6.97,6.90,7.61
Albania,0.80,1.68,2.00,3.24,6.39,8.27,7.29,7.90,10.92,13.26,16.05,20.50,34.80,30.15,32.93,35.65
Algeria,0.06,0.13,0.28,0.44,1.00,1.72,2.41,3.50,5.07,7.96,12.46,17.26,22.21,30.29,31.35,35.55
Angola,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.11,0.00,0.00,0.07
Antigua and Barbuda,,,,,,,,,,,,,,,17.49,19.36
Argentina,3.11,4.21,5.67,7.70,10.08,12.32,14.51,17.36,19.26,19.91,20.13,21.78,22.72,25.71,49.15,54.21
Armenia,5.99,9.98,11.17,17.25,21.42,19.84,18.22,18.19,20.92,22.99,23.70,26.42,34.32,35.94,34.87,36.54
Aruba,0.93,0.88,1.69,2.80,3.00,3.83,4.58,6.01,7.12,7.82,8.70,9.38,9.11,10.40,11.71,12.96
Asia,0.69,1.00,1.59,2.03,2.68,3.29,4.21,5.13,5.98,7.60,9.87,13.40,17.59,22.02,23.00,25.99
Australia,4.54,6.66,8.87,11.57,14.27,17.88,20.08,20.71,22.59,25.79,27.99,29.26,39.11,33.78,66.49,71.04
Australia and New Zealand,4.36,6.48,8.80,11.64,14.52,18.63,20.94,21.60,23.35,26.56,28.90,30.14,40.87,34.47,34.02,36.47
Austria,3.88,4.69,5.75,7.87,9.75,12.78,15.94,18.03,20.72,24.42,28.67,30.66,42.23,37.29,74.64,80.58
Azerbaijan,2.13,2.19,2.65,4.06,6.54,6.55,6.25,5.69,5.36,5.64,6.69,18.36,9.56,12.27,11.85,13.02
Bahamas,3.71,6.62,10.61,13.96,18.80,23.96,23.81,24.81,27.12,28.13,27.56,29.30,31.08,35.42,34.68,36.47
Bahrain,0.66,1.18,2.03,3.26,4.69,6.39,6.70,6.27,7.35,12.11,9.29,12.65,12.86,18.43,33.83,36.99
Bangladesh,0.01,0.03,0.05,0.09,0.16,0.23,0.26,0.34,0.52,0.78,1.13,1.56,2.51,2.46,3.08,3.80
Barbados,,,,,,,,,,,,,,,17.49,19.10
Belarus,2.32,3.49,4.70,6.46,9.03,8.85,9.36,9.91,10.69,11.96,13.17,41.06,16.09,18.45,17.84,19.28
Belgium,1.67,5.10,6.83,9.17,10.23,10.77,11.45,12.44,13.58,14.96,15.71,16.94,25.78,20.88,42.33,45.72
Belize,1.07,1.83,3.88,4.49,8.15,7.61,8.95,9.49,12.40,13.62,15.17,17.22,18.06,21.91,49.16,55.39
Benin,0.11,0.20,0.38,0.49,0.64,0.62,0.41,0.44,0.57,0.47,0.51,0.89,1.53,1.68,2.32,2.57
Bhutan,0.06,0.09,0.21,0.21,0.31,0.58,0.85,1.23,1.63,2.11,4.02,5.97,10.00,13.07,16.28,19.09
Bolivia (Plurinational State of),2.14,2.39,3.06,4.27,5.70,7.28,8.37,8.81,9.94,11.78,14.19,16.83,22.99,21.10,45.53,50.09
Bosnia and Herzegovina,0.73,1.38,1.99,3.14,4.53,4.83,5.53,5.76,5.49,7.47,11.41,13.47,29.61,18.22,34.56,37.08
Botswana,0.30,0.63,1.31,2.23,3.51,5.30,7.96,9.71,12.28,13.45,13.80,17.27,18.65,21.18,46.44,51.69
Brazil,0.71,1.02,1.45,2.12,3.11,3.95,4.51,4.89,4.98,5.28,5.83,6.70,7.22,8.69,15.54,17.57
Brunei Darussalam,,,,,,,,,,,,,,,6.54,7.74
Bulgaria,1.80,3.10,4.80,6.76,7.31,9.24,10.33,9.96,11.10,12.56,13.90,14.18,24.96,15.32,30.95,33.04
Burkina Faso,0.00,0.00,0.01,0.02,0.04,0.07,0.10,0.14,0.13,0.12,0.13,0.17,0.10,0.13,0.19,0.29
Burundi,0.00,0.00,0.00,0.00,0.01,0.04,0.06,0.08,0.08,0.14,0.23,0.33,0.37,0.61,0.81,1.12
Cambodia,0.01,0.04,0.09,0.18,0.32,0.39,0.38,0.38,0.72,0.95,1.39,2.27,3.40,2.69,3.00,3.98
Cameroon,0.05,0.10,0.06,0.10,0.24,0.26,0.38,0.42,0.95,1.37,1.86,2.52,3.15,3.58,4.29,4.84
Canada,17.67,18.29,22.43,28.38,32.99,35.78,37.63,41.34,45.79,48.79,49.42,50.48,58.53,52.71,106.30,107.82
Cape Verde,0.02,0.04,0.11,0.38,0.72,0.71,0.77,0.81,0.93,1.51,1.84,2.72,3.52,3.84,4.41,4.92
Caribbean,1.74,2.34,2.93,4.05,5.67,7.62,9.25,10.23,10.90,11.95,12.99,14.50,17.73,17.39,18.00,18.50
Central African Republic,0.04,0.06,0.09,0.14,0.21,0.29,0.28,0.31,0.28,0.42,0.62,0.82,0.91,1.88,1.11,1.38
Central America,0.63,0.98,1.49,2.19,3.02,3.98,5.41,6.50,6.80,7.24,7.99,9.30,10.34,11.83,12.56,13.81
Central Asia,3.43,4.64,6.70,8.81,13.18,12.99,13.61,14.04,14.11,14.26,14.28,26.60,16.40,16.92,16.19,17.09
Chad,0.02,0.02,0.03,0.05,0.07,0.09,0.13,0.15,0.10,0.18,0.33,0.50,1.43,0.79,1.12,1.43
Chile,1.82,2.40,3.11,4.24,6.05,7.82,8.38,9.18,11.17,14.26,17.68,21.06,23.08,41.45,53.15,55.75
China,0.28,0.84,1.42,1.58,1.52,1.87,2.60,3.79,4.82,7.12,10.98,17.33,24.42,37.71,74.17,87.16
Colombia,1.36,2.12,3.16,4.92,7.35,9.39,10.92,11.89,12.63,14.31,16.97,18.66,21.51,24.68,46.70,49.59
Comoros,0.02,0.04,0.08,0.15,0.13,0.49,0.80,0.91,1.96,2.91,4.70,6.26,13.51,8.46,10.39,11.27
Congo,0.21,0.37,0.65,0.98,1.65,2.25,3.24,2.62,2.02,3.01,3.03,3.43,4.83,4.07,4.92,5.62
Costa Rica,4.28,5.09,5.82,7.03,8.55,10.53,11.36,12.03,11.84,12.99,15.44,17.71,23.47,22.35,24.60,26.75
Cote d'Ivoire,0.00,0.00,0.00,0.00,0.00,0.03,0.28,0.43,0.48,0.71,1.35,1.66,2.21,2.05,2.70,3.09
Croatia,1.14,1.54,2.24,3.68,4.93,5.06,5.30,5.78,6.35,7.94,9.77,10.89,20.30,14.21,27.33,29.83
Cuba,1.22,1.87,2.76,3.83,5.39,7.23,9.13,10.26,10.91,11.67,12.40,14.55,26.50,19.98,20.22,21.60
Curaçao,0.90,1.47,2.00,2.23,2.74,3.43,3.61,3.66,4.32,5.33,6.08,6.69,9.61,8.06,8.34,10.09
Cyprus,1.58,2.63,4.58,7.73,10.80,15.37,20.17,22.25,25.28,30.49,35.22,38.62,51.56,46.46,46.64,47.29
Czech Republic,1.40,2.25,3.31,5.54,5.50,6.06,7.70,8.66,8.68,9.19,12.44,13.64,22.29,17.91,35.03,37.44
Democratic People's Republic of Korea,0.54,1.76,3.08,5.29,6.57,10.52,11.69,7.92,7.49,7.81,8.90,14.51,11.35,15.39,14.47,16.20
Democratic Republic of the Congo,0.00,0.00,0.00,0.00,0.29,0.44,0.31,0.87,1.28,1.67,2.36,2.82,5.05,3.35,3.65,4.18
Denmark,1.26,1.63,2.16,2.79,3.72,4.85,5.16,5.14,5.61,6.60,7.27,7.59,14.83,8.68,17.55,20.03
Djibouti,,,,,,,,,,,,,,,3.76,4.53
Dominican Republic,1.26,1.63,1.95,2.81,4.54,7.18,9.58,11.35,12.29,13.68,16.20,18.88,20.88,24.24,26.66,28.50
Eastern Africa,0.19,0.26,0.35,0.49,0.65,0.86,1.09,1.34,1.62,1.72,2.01,3.10,3.62,3.03,3.67,4.35
Eastern Asia,0.77,1.19,1.87,2.42,2.88,3.30,4.45,5.67,6.66,9.35,13.59,19.13,25.23,37.56,41.85,49.06
Eastern Europe,3.26,3.12,5.54,7.60,9.19,9.82,11.13,12.60,13.84,15.70,20.32,20.97,24.41,24.13,23.73,25.40
Ecuador,1.17,1.74,2.69,4.22,6.88,10.44,13.85,15.85,16.10,16.54,17.99,20.27,22.33,25.14,26.79,28.42
Egypt,0.81,1.27,1.94,2.87,4.11,5.50,7.04,7.97,9.10,10.61,12.09,14.87,17.72,28.04,48.37,55.11
El Salvador,0.77,1.18,1.61,2.19,2.48,3.11,4.52,5.86,6.73,7.19,8.39,12.53,10.05,12.27,13.60,15.07
Equatorial Guinea,0.00,0.01,0.02,0.18,0.27,0.21,0.50,0.26,0.54,0.66,0.64,0.61,0.85,0.98,1.31,1.82
Eritrea,,,,,,,,,,,,,,,3.76,4.41
Estonia,3.85,8.62,12.60,16.13,18.21,21.40,24.95,27.08,26.95,25.52,26.33,27.07,52.26,29.56,59.71,60.87
Ethiopia,0.02,0.03,0.04,0.07,0.13,0.29,0.45,0.51,0.56,0.61,0.76,1.32,0.97,1.06,1.52,2.06
Europe,2.83,3.20,4.93,6.68,8.51,9.85,11.29,12.70,14.31,16.98,20.46,21.74,30.03,25.41,25.70,27.61
Fiji,2.81,3.38,3.42,4.03,5.25,6.75,6.94,7.06,8.68,13.79,18.17,25.60,28.17,33.60,35.20,37.20
Finland,0.48,1.01,2.17,3.09,3.57,4.34,5.72,6.44,6.82,7.02,7.07,7.11,19.09,7.66,15.28,17.03
France,3.58,3.93,5.36,8.29,11.30,13.00,14.79,16.88,20.94,26.75,30.78,32.84,42.13,39.21,78.13,81.78
French Guiana,1.75,2.73,3.82,4.67,5.34,6.72,6.73,6.80,7.65,7.96,8.29,15.05,8.35,9.34,10.11,11.28
French Polynesia,1.15,2.46,3.70,6.25,10.22,11.53,12.31,13.42,15.47,18.94,22.15,27.96,27.17,31.72,31.97,34.25
Gabon,0.02,0.04,0.11,0.23,0.40,1.12,1.54,1.21,1.53,1.22,1.94,2.31,5.66,2.80,3.12,3.68
Gambia,0.00,0.00,0.02,0.27,0.38,0.37,0.39,0.83,1.62,1.57,1.94,2.68,5.54,3.84,4.34,5.17
Georgia,13.17,16.96,18.80,22.01,26.66,27.06,28.19,29.74,31.18,32.16,32.00,32.88,54.91,36.57,72.22,73.65
Germany,1.61,2.68,3.94,5.76,6.72,8.97,10.68,11.79,12.82,13.89,16.25,17.43,43.56,21.03,41.94,45.06
Ghana,0.41,0.59,0.76,1.34,1.74,2.12,1.86,1.53,1.29,1.38,1.93,2.36,2.63,3.04,3.62,4.08
Greece,1.68,2.43,3.09,4.87,7.24,10.50,12.32,15.26,18.48,21.05,24.86,26.97,39.61,32.85,66.12,68.62
Grenada,,,,,,,,,,,,,,,17.49,18.71
Guadeloupe,1.70,2.78,4.07,4.69,5.99,7.25,7.70,8.07,10.14,13.15,14.45,27.56,16.80,18.91,18.79,19.87
Guam,,,,,,,,,,,,,,,35.20,36.63
Guatemala,0.20,0.26,0.32,0.38,0.55,0.72,0.96,1.14,1.25,1.44,1.67,1.92,2.32,7.09,3.08,3.52
Guinea,0.01,0.07,0.11,0.18,0.34,0.70,1.05,0.73,0.55,0.60,0.86,1.52,5.76,3.58,4.48,5.75
Guinea-Bissau,0.00,0.00,0.00,0.01,0.03,0.17,0.20,0.20,0.19,0.18,0.15,0.22,0.20,0.32,0.42,0.45
Guyana,1.26,1.76,2.58,3.92,4.89,5.24,4.71,4.66,5.70,6.63,15.36,8.90,9.52,11.29,11.57,12.46
Haiti,0.03,0.03,0.03,0.04,0.05,0.06,0.06,0.08,0.12,0.15,0.57,0.20,0.21,0.28,0.32,0.45
Honduras,0.27,0.37,0.49,0.67,0.94,1.24,1.64,2.13,2.40,2.49,2.66,3.26,6.43,4.77,5.42,6.40
Hong Kong Special Administrative Region of China,1.06,2.28,5.26,6.13,5.48,6.14,8.51,12.79,17.92,23.00,28.17,33.52,43.60,45.62,90.72,94.30
Hungary,2.43,3.31,4.49,7.88,9.00,10.17,13.13,16.20,17.96,21.12,26.12,28.56,38.89,35.69,71.32,74.89
Iceland,1.12,1.45,1.90,2.75,3.92,4.95,5.51,5.82,6.67,7.43,7.34,7.60,11.33,8.44,17.54,19.66
India,0.36,0.59,1.17,1.39,1.99,2.86,3.61,4.12,4.90,5.76,7.49,10.04,15.02,15.95,18.64,21.77
Indonesia,0.08,0.15,0.25,0.50,0.93,1.41,1.95,2.92,3.47,3.69,4.47,5.78,7.27,9.58,16.73,19.75
Iran (Islamic Republic of),0.24,0.35,0.52,1.39,2.04,2.73,3.42,4.41,6.23,8.57,10.77,13.09,18.10,19.22,20.41,22.87
Iraq,0.22,0.37,0.72,2.54,3.11,3.10,5.50,7.17,7.54,7.32,7.16,8.71,7.41,10.96,13.91,16.17
Ireland,6.27,7.97,9.92,11.96,14.83,17.73,22.45,26.15,30.16,36.00,38.67,39.89,66.40,42.68,86.08,88.14
Israel,5.35,6.98,8.35,9.31,10.53,10.52,10.81,10.59,11.11,12.36,13.43,36.29,15.15,16.21,32.98,35.42
Italy,0.70,0.98,1.36,1.55,2.48,3.40,3.79,4.15,5.11,6.78,8.12,9.25,16.38,12.51,25.38,27.67
Jamaica,4.54,6.13,7.07,9.43,12.95,16.28,16.70,16.16,17.30,20.95,23.98,25.87,29.43,32.80,36.44,37.79
Japan,3.46,3.14,4.32,6.23,9.81,14.61,20.63,22.68,24.30,27.55,30.80,32.98,34.65,39.43,38.81,40.40
Jordan,0.56,1.04,1.93,13.48,15.78,16.65,17.30,16.48,14.02,12.41,12.11,14.12,15.25,16.23,36.67,39.45
Kazakhstan,4.27,5.67,7.35,9.90,15.19,15.26,16.67,18.16,19.25,20.58,21.99,42.88,26.47,26.88,26.33,27.14
Kenya,0.17,0.28,0.47,0.79,1.22,1.78,2.46,2.99,3.51,3.70,4.10,8.50,4.99,5.38,11.89,13.38
Kiribati,0.01,0.02,0.04,0.07,0.13,0.20,0.34,0.38,0.42,0.55,0.58,0.75,0.90,1.26,1.27,1.58
Kuwait,0.34,0.65,1.11,1.72,2.41,7.29,6.94,5.65,5.13,5.34,5.37,7.18,5.93,9.40,10.08,11.56
Kyrgyzstan,2.21,2.53,4.33,5.65,8.51,8.09,8.14,7.94,7.64,7.19,7.67,24.34,8.80,9.80,9.71,10.21
Lao People's Democratic Republic,0.04,0.09,0.20,0.39,0.88,1.24,2.23,3.66,4.52,3.61,4.04,6.55,7.87,8.70,11.54,15.03
Latin America and the Caribbean,1.31,1.80,2.48,3.56,4.94,6.30,7.53,8.49,9.11,9.88,11.00,12.31,14.00,16.65,16.43,17.97
Latvia,3.63,4.81,6.52,7.29,9.52,11.92,13.74,14.71,16.19,17.29,19.43,20.52,33.02,24.41,49.25,51.07
Lebanon,0.21,0.54,0.89,1.81,3.23,5.18,7.63,10.55,13.67,17.76,23.14,35.94,35.21,41.47,43.69,46.39
Lesotho,0.61,0.82,1.06,1.30,1.58,1.67,2.21,2.63,2.28,3.04,3.79,4.78,13.90,6.49,7.96,9.09
Liberia,0.05,0.06,0.08,0.08,0.11,0.18,0.19,0.20,0.20,0.18,0.20,0.49,0.17,0.21,0.26,0.37
Libyan Arab Jamahiriya,,,,,,,,,,,,,,,20.33,23.59
Lithuania,6.34,8.59,13.65,17.50,23.51,27.00,29.22,29.54,29.65,26.81,25.65,27.05,47.59,30.18,61.24,61.65
